Location,Health Spending per Capita
United States,7094
Alabama,6421
Alaska,9129
Arizona,6027
Arkansas,6412
California,6480
Colorado,5979
Connecticut,8863
Delaware,8822
District of Columbia,10876
Florida,7301
Georgia,5554
Hawaii,6496
Idaho,5999
Illinois,7253
Indiana,6987
Iowa,7177
Kansas,6858
Kentucky,6898
Louisiana,7227
Maine,8539
Maryland,7748
Massachusetts,9619
Michigan,7121
Minnesota,7782
Mississippi,6642
Missouri,7114
Montana,7034
Nebraska,7524
Nevada,5790
New Hampshire,8466
New Jersey,7778
New Mexico,6439
New York,8795
North Carolina,6615
North Dakota,8325
Ohio,7525
Oklahoma,6648
Oregon,6729
Pennsylvania,8121
Rhode Island,8569
South Carolina,6554
South Dakota,7704
Tennessee,6626
Texas,6162
Utah,5171
Vermont,8488
Virginia,6610
Washington,6981
West Virginia,7960
Wisconsin,7709
Wyoming,7301
,
Notes,
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  ",
,
Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  ,
,
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416).",
,
Sources,
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), June 2017.",
,
"U.S. Population by State, 1991-2014 obtained from the U.S. Bureau of the Census, June 2017.",
,
Definitions,
"*Health Spending Per Capita* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence (aggregate spending divided by population). Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total.",
